dataset,index,raw_label,y_true,pred_label,outcome,method,base_probability,base_target_confidence,n_perturbations,mask_fraction,faithfulness_pearson,faithfulness_spearman,mean_confidence_drop,std_confidence_drop,negative_drop_fraction,mean_attribution_sum,std_attribution_sum,valid_correlation
kepler,157,no-PC,0,1,FP,saliency,0.9259791970252991,0.9259791970252991,32,0.1,0.3093819068942591,0.32404692082111436,0.056701868772506714,0.10247038304805756,0.125,9.968558669090271,1.226568433238619,True
kepler,157,no-PC,0,1,FP,integrated_gradients,0.9259791970252991,0.9259791970252991,32,0.1,0.3034528602857205,0.31598240469208205,0.056701868772506714,0.10247038304805756,0.125,8.457046627998352,1.2755638440732007,True
kepler,157,no-PC,0,1,FP,occlusion,0.9259791970252991,0.9259791970252991,32,0.1,0.3566079298168753,0.14259530791788855,0.056701868772506714,0.10247038304805756,0.125,42.30049002170563,3.577865277063685,True
kepler,157,no-PC,0,1,FP,consensus,0.9259791970252991,0.9259791970252991,32,0.1,0.4732126877040323,0.2976539589442815,0.056701868772506714,0.10247038304805756,0.125,23.62977707386017,1.8315587181382456,True
kepler,162,PC,1,1,TP,saliency,0.586844801902771,0.586844801902771,32,0.1,0.21401875294166628,0.23753665689149558,0.29978764057159424,0.1740913689136505,0.09375,4.367102414369583,1.0253567524049498,True
kepler,162,PC,1,1,TP,integrated_gradients,0.586844801902771,0.586844801902771,32,0.1,0.05650812940927346,0.13819648093841638,0.29978764057159424,0.1740913689136505,0.09375,7.140926688909531,0.9340932464887275,True
kepler,162,PC,1,1,TP,occlusion,0.586844801902771,0.586844801902771,32,0.1,-0.11978353517189608,-0.13599706744868034,0.29978764057159424,0.1740913689136505,0.09375,114.74617505073547,4.009439226991741,True
kepler,162,PC,1,1,TP,consensus,0.586844801902771,0.586844801902771,32,0.1,-0.1340330454622892,-0.11986803519061583,0.29978764057159424,0.1740913689136505,0.09375,61.873655676841736,1.944891045257391,True
kepler,165,no-PC,0,0,TN,saliency,1.3017528388559185e-08,0.9999999869824716,32,0.1,,,0.0,0.0,0.0,6.347311481833458,1.2147295821106132,False
kepler,165,no-PC,0,0,TN,integrated_gradients,1.3017528388559185e-08,0.9999999869824716,32,0.1,,,0.0,0.0,0.0,8.35417526960373,1.1408354820046367,False
kepler,165,no-PC,0,0,TN,occlusion,1.3017528388559185e-08,0.9999999869824716,32,0.1,,,0.0,0.0,0.0,16.34375,4.415769857850384,False
kepler,165,no-PC,0,0,TN,consensus,1.3017528388559185e-08,0.9999999869824716,32,0.1,,,0.0,0.0,0.0,16.06801810860634,2.8876923440545967,False
kepler,174,no-PC,0,0,TN,saliency,1.1791216891765544e-08,0.9999999882087831,32,0.1,0.38541776203957057,0.43570854498483536,5.587935447692871e-08,5.359759569500966e-08,0.0,11.451466113328934,1.6805077329933504,True
kepler,174,no-PC,0,0,TN,integrated_gradients,1.1791216891765544e-08,0.9999999882087831,32,0.1,0.6167875529997313,0.6452511082857753,5.587935447692871e-08,5.359759569500966e-08,0.0,7.085158616304398,1.0826474817158933,True
kepler,174,no-PC,0,0,TN,occlusion,1.1791216891765544e-08,0.9999999882087831,32,0.1,0.42533232274228694,0.49629653040692345,5.587935447692871e-08,5.359759569500966e-08,0.0,29.122362732887268,2.892483102449624,True
kepler,174,no-PC,0,0,TN,consensus,1.1791216891765544e-08,0.9999999882087831,32,0.1,0.5055388377612069,0.625128022874829,5.587935447692871e-08,5.359759569500966e-08,0.0,23.802686870098114,2.0969869826958907,True
kepler,179,PC,1,1,TP,saliency,0.8190683722496033,0.8190683722496033,32,0.1,0.25552912272571016,0.2602639296187683,0.184499591588974,0.13204757869243622,0.125,3.019853711128235,0.8653523506613667,True
kepler,179,PC,1,1,TP,integrated_gradients,0.8190683722496033,0.8190683722496033,32,0.1,0.1869271241268535,0.20601173020527858,0.184499591588974,0.13204757869243622,0.125,3.8910170644521713,0.7998156834096181,True
kepler,179,PC,1,1,TP,occlusion,0.8190683722496033,0.8190683722496033,32,0.1,0.40391540142099736,0.4021260997067448,0.184499591588974,0.13204757869243622,0.125,81.08519315719604,3.3345003452216897,True
kepler,179,PC,1,1,TP,consensus,0.8190683722496033,0.8190683722496033,32,0.1,0.3857316287914988,0.37903225806451607,0.184499591588974,0.13204757869243622,0.125,51.601462960243225,2.135177037723297,True
kepler,184,PC,1,1,TP,saliency,0.9959544539451599,0.9959544539451599,32,0.1,0.29413473967289294,0.19904692082111436,0.03221208602190018,0.03493056446313858,0.0,4.67359271645546,1.0771321912601222,True
kepler,184,PC,1,1,TP,integrated_gradients,0.9959544539451599,0.9959544539451599,32,0.1,0.4278701499079711,0.346041055718475,0.03221208602190018,0.03493056446313858,0.0,5.307550460100174,0.8733822562438734,True
kepler,184,PC,1,1,TP,occlusion,0.9959544539451599,0.9959544539451599,32,0.1,-0.10079566855894627,-0.03885630498533724,0.03221208602190018,0.03493056446313858,0.0,67.2516576051712,4.6211120459875525,True
kepler,184,PC,1,1,TP,consensus,0.9959544539451599,0.9959544539451599,32,0.1,0.03784107348039865,0.10080645161290322,0.03221208602190018,0.03493056446313858,0.0,34.65458071231842,2.2581414822877113,True
kepler,204,PC,1,1,TP,saliency,0.9948523044586182,0.9948523044586182,32,0.1,0.4816956599811956,0.4303519061583577,0.023870384320616722,0.030679378658533096,0.09375,4.506134010851383,0.9602016347947071,True
kepler,204,PC,1,1,TP,integrated_gradients,0.9948523044586182,0.9948523044586182,32,0.1,0.4018081087898078,0.4098240469208211,0.023870384320616722,0.030679378658533096,0.09375,6.918698728084564,1.1138719572877578,True
kepler,204,PC,1,1,TP,occlusion,0.9948523044586182,0.9948523044586182,32,0.1,0.044496843908296085,-0.26063049853372433,0.023870384320616722,0.030679378658533096,0.09375,66.20294535160065,2.7125713030980045,True
kepler,204,PC,1,1,TP,consensus,0.9948523044586182,0.9948523044586182,32,0.1,0.23243605272155374,-0.00036656891495601173,0.023870384320616722,0.030679378658533096,0.09375,40.78513741493225,1.7764241359605897,True
kepler,214,PC,1,1,TP,saliency,0.556706964969635,0.556706964969635,32,0.1,0.4995755002367016,0.5403225806451613,0.09304672479629517,0.0673530176281929,0.0625,3.0153364427387714,0.7319989846191071,True
kepler,214,PC,1,1,TP,integrated_gradients,0.556706964969635,0.556706964969635,32,0.1,0.5868002347084388,0.531524926686217,0.09304672479629517,0.0673530176281929,0.0625,4.15945503115654,0.7335827334806356,True
kepler,214,PC,1,1,TP,occlusion,0.556706964969635,0.556706964969635,32,0.1,0.3992007936417354,0.36290322580645157,0.09304672479629517,0.0673530176281929,0.0625,74.46121287345886,3.9968849278082197,True
kepler,214,PC,1,1,TP,consensus,0.556706964969635,0.556706964969635,32,0.1,0.5073553729054436,0.5098973607038122,0.09304672479629517,0.0673530176281929,0.0625,40.160040974617004,2.171189808871619,True
kepler,223,PC,1,1,TP,saliency,0.9801618456840515,0.9801618456840515,32,0.1,0.1861364165449711,0.23057184750733137,0.13727203011512756,0.10704649239778519,0.03125,5.546700552105904,0.8898210366735072,True
kepler,223,PC,1,1,TP,integrated_gradients,0.9801618456840515,0.9801618456840515,32,0.1,0.2879657760129177,0.3119501466275659,0.13727203011512756,0.10704649239778519,0.03125,8.62697023153305,1.4166585043270759,True
kepler,223,PC,1,1,TP,occlusion,0.9801618456840515,0.9801618456840515,32,0.1,0.18209652990678601,0.20821114369501464,0.13727203011512756,0.10704649239778519,0.03125,61.97361147403717,3.815004759025052,True
kepler,223,PC,1,1,TP,consensus,0.9801618456840515,0.9801618456840515,32,0.1,0.21377969037513087,0.23240469208211137,0.13727203011512756,0.10704649239778519,0.03125,38.844799399375916,2.4400763542490314,True
kepler,229,no-PC,0,1,FP,saliency,0.7376669645309448,0.7376669645309448,32,0.1,0.00853189712543586,0.2162756598240469,0.051965728402137756,0.0983622595667839,0.28125,4.100644417107105,0.7086132122875087,True
kepler,229,no-PC,0,1,FP,integrated_gradients,0.7376669645309448,0.7376669645309448,32,0.1,0.39921930247888276,0.19391495601173017,0.051965728402137756,0.0983622595667839,0.28125,5.427259057760239,0.9161806038286088,True
kepler,229,no-PC,0,1,FP,occlusion,0.7376669645309448,0.7376669645309448,32,0.1,0.12664070820400802,0.03885630498533724,0.051965728402137756,0.0983622595667839,0.28125,55.80198085308075,3.228885015149882,True
kepler,229,no-PC,0,1,FP,consensus,0.7376669645309448,0.7376669645309448,32,0.1,0.19434744125125136,0.11766862170087976,0.051965728402137756,0.0983622595667839,0.28125,32.461607456207275,1.9843814417893257,True
kepler,248,PC,1,1,TP,saliency,0.9841799139976501,0.9841799139976501,32,0.1,0.36435436214306294,0.4226539589442815,0.09017210453748703,0.09242419898509979,0.125,4.093401983380318,0.9050992705056626,True
kepler,248,PC,1,1,TP,integrated_gradients,0.9841799139976501,0.9841799139976501,32,0.1,0.5129520940771994,0.5274926686217009,0.09017210453748703,0.09242419898509979,0.125,6.423362374305725,1.2063893902545761,True
kepler,248,PC,1,1,TP,occlusion,0.9841799139976501,0.9841799139976501,32,0.1,0.020423422365595485,0.049853372434017586,0.09017210453748703,0.09242419898509979,0.125,58.926035046577454,3.700660221368784,True
kepler,248,PC,1,1,TP,consensus,0.9841799139976501,0.9841799139976501,32,0.1,0.18010370697570502,0.16788856304985336,0.09017210453748703,0.09242419898509979,0.125,38.398035168647766,2.2919724804659096,True
kepler,251,PC,1,0,FN,saliency,0.3991475999355316,0.6008524000644684,32,0.1,0.19649800033687734,0.15909090909090906,0.012349424883723259,0.10482585430145264,0.5,7.153391361236572,1.0988849714101305,True
kepler,251,PC,1,0,FN,integrated_gradients,0.3991475999355316,0.6008524000644684,32,0.1,0.008992413877936704,-0.11840175953079178,0.012349424883723259,0.10482585430145264,0.5,7.453205928206444,1.2263761963600237,True
kepler,251,PC,1,0,FN,occlusion,0.3991475999355316,0.6008524000644684,32,0.1,0.24210279694289813,0.05168621700879765,0.012349424883723259,0.10482585430145264,0.5,17.62332034111023,3.1358304973363422,True
kepler,251,PC,1,0,FN,consensus,0.3991475999355316,0.6008524000644684,32,0.1,0.13921533210203635,-0.1063049853372434,0.012349424883723259,0.10482585430145264,0.5,18.77395686507225,2.597033807945218,True
kepler,275,PC,1,0,FN,saliency,0.4932016134262085,0.5067983865737915,32,0.1,0.08343592559228626,0.2562316715542522,-0.29485708475112915,0.16069212555885315,0.90625,5.458291418850422,1.0257675704608018,True
kepler,275,PC,1,0,FN,integrated_gradients,0.4932016134262085,0.5067983865737915,32,0.1,-0.15401742500915366,-0.02126099706744868,-0.29485708475112915,0.16069212555885315,0.90625,8.952630192041397,1.4153620887991347,True
kepler,275,PC,1,0,FN,occlusion,0.4932016134262085,0.5067983865737915,32,0.1,0.10315376663200222,0.14882697947214074,-0.29485708475112915,0.16069212555885315,0.90625,28.370730876922607,3.5593657702731556,True
kepler,275,PC,1,0,FN,consensus,0.4932016134262085,0.5067983865737915,32,0.1,0.05832485957073541,0.12096774193548386,-0.29485708475112915,0.16069212555885315,0.90625,20.848020017147064,2.16869062755311,True
kepler,288,no-PC,0,0,TN,saliency,5.960300040896982e-05,0.999940396999591,32,0.1,0.13398552140423253,0.1099706744868035,9.305775165557861e-06,2.12076793104643e-05,0.4375,9.99538055062294,1.1963669520536262,True
kepler,288,no-PC,0,0,TN,integrated_gradients,5.960300040896982e-05,0.999940396999591,32,0.1,0.272724036148335,0.28115835777126097,9.305775165557861e-06,2.12076793104643e-05,0.4375,11.687766671180725,1.2082716771804582,True
kepler,288,no-PC,0,0,TN,occlusion,5.960300040896982e-05,0.999940396999591,32,0.1,0.0470320674690035,0.01063049853372434,9.305775165557861e-06,2.12076793104643e-05,0.4375,22.709487915039062,2.826808660137501,True
kepler,288,no-PC,0,0,TN,consensus,5.960300040896982e-05,0.999940396999591,32,0.1,0.07825366187304184,0.021627565982404687,9.305775165557861e-06,2.12076793104643e-05,0.4375,26.2305748462677,2.1314168020818336,True
kepler,292,no-PC,0,0,TN,saliency,0.4387640655040741,0.5612359344959259,32,0.1,-0.35462738924846643,-0.2994868035190616,-0.28075820207595825,0.14201082289218903,0.90625,2.7404684610664845,0.942216457179611,True
kepler,292,no-PC,0,0,TN,integrated_gradients,0.4387640655040741,0.5612359344959259,32,0.1,-0.6156175610979565,-0.5912756598240468,-0.28075820207595825,0.14201082289218903,0.90625,3.304448537528515,0.8829925074970502,True
kepler,292,no-PC,0,0,TN,occlusion,0.4387640655040741,0.5612359344959259,32,0.1,0.00993551596881251,-0.15909090909090906,-0.28075820207595825,0.14201082289218903,0.90625,24.616080582141876,2.9216230110961496,True
kepler,292,no-PC,0,0,TN,consensus,0.4387640655040741,0.5612359344959259,32,0.1,-0.0783559092028495,-0.2027126099706745,-0.28075820207595825,0.14201082289218903,0.90625,18.582351118326187,1.6032140122492253,True
kepler,295,no-PC,0,1,FP,saliency,0.9802134037017822,0.9802134037017822,32,0.1,0.31647071100935886,0.26722873900293254,0.01878148689866066,0.025901662185788155,0.125,7.25074402987957,1.383297462534761,True
kepler,295,no-PC,0,1,FP,integrated_gradients,0.9802134037017822,0.9802134037017822,32,0.1,0.607896574662194,0.6326979472140761,0.01878148689866066,0.025901662185788155,0.125,5.230546697974205,1.0450029730525237,True
kepler,295,no-PC,0,1,FP,occlusion,0.9802134037017822,0.9802134037017822,32,0.1,0.07711525726134509,0.02456011730205278,0.01878148689866066,0.025901662185788155,0.125,58.94480502605438,2.709436767520313,True
kepler,295,no-PC,0,1,FP,consensus,0.9802134037017822,0.9802134037017822,32,0.1,0.31896665440582506,0.2719941348973607,0.01878148689866066,0.025901662185788155,0.125,33.158607721328735,2.022161236207012,True
kepler,299,no-PC,0,1,FP,saliency,0.5704490542411804,0.5704490542411804,32,0.1,-0.08848343618886137,-0.09274193548387095,0.06007062643766403,0.05284325033426285,0.125,8.801120281219482,1.267273968526581,True
kepler,299,no-PC,0,1,FP,integrated_gradients,0.5704490542411804,0.5704490542411804,32,0.1,0.09398436675671515,0.10557184750733135,0.06007062643766403,0.05284325033426285,0.125,4.885238081216812,0.8735790932739615,True
kepler,299,no-PC,0,1,FP,occlusion,0.5704490542411804,0.5704490542411804,32,0.1,0.6218255551042303,0.5868768328445747,0.06007062643766403,0.05284325033426285,0.125,95.26126003265381,4.288446260405628,True
kepler,299,no-PC,0,1,FP,consensus,0.5704490542411804,0.5704490542411804,32,0.1,0.5744091522355906,0.5685483870967741,0.06007062643766403,0.05284325033426285,0.125,48.64418852329254,2.0654252750520987,True
kepler,308,PC,1,1,TP,saliency,0.9947159886360168,0.9947159886360168,32,0.1,0.3564730809170989,0.44868035190615835,0.022056566551327705,0.025992507115006447,0.0,6.111114613711834,1.3450833568188416,True
kepler,308,PC,1,1,TP,integrated_gradients,0.9947159886360168,0.9947159886360168,32,0.1,0.04005945954589759,0.12903225806451613,0.022056566551327705,0.025992507115006447,0.0,8.74922326207161,1.2351695949973132,True
kepler,308,PC,1,1,TP,occlusion,0.9947159886360168,0.9947159886360168,32,0.1,-0.24842166912769284,-0.1598240469208211,0.022056566551327705,0.025992507115006447,0.0,64.75869381427765,3.2928423695016362,True
kepler,308,PC,1,1,TP,consensus,0.9947159886360168,0.9947159886360168,32,0.1,-0.10357111399207089,0.0469208211143695,0.022056566551327705,0.025992507115006447,0.0,38.8801144361496,1.9151676855556377,True
kepler,311,no-PC,0,1,FP,saliency,0.6700457334518433,0.6700457334518433,32,0.1,0.061086374576343284,0.18621700879765396,0.09826434403657913,0.09281384199857712,0.125,3.3842133060097694,0.9458802547811891,True
